car_name,km_driven,manufactured_year,fuel_type,transmission,price
Maruti Alto 800,73.59k km,2013,Petrol,Manual,₹ 1.78 lakh
Maruti New Wagon-R,90.13k km,2020,Petrol,Manual,₹ 4.13 lakh
Maruti Wagon R 1.0,1.4L km,2013,Petrol,Manual,₹ 1.96 lakh
Maruti Swift Dzire,76.70k km,2016,Diesel,Manual,₹ 2.08 lakh
Maruti Wagon R 1.0,1.0L km,2013,Petrol,Manual,₹ 2.13 lakh
Maruti Alto 800,56.00k km,2013,Petrol,Manual,₹ 1.64 lakh
Maruti Wagon R 1.0,2.3L km,2013,Petrol,Manual,₹ 2.31 lakh
Maruti Alto 800,55.00k km,2014,Petrol,Manual,₹ 1.86 lakh
Maruti Ertiga,39.96k km,2023,Petrol,Manual,₹ 8.78 lakh
Maruti Wagon R 1.0,38.53k km,2013,Petrol,Manual,₹ 2.00 lakh
Maruti Swift Dzire,70.91k km,2013,Petrol,Auto,₹ 2.67 lakh
Maruti Swift Dzire,29.00k km,2013,Petrol,Manual,₹ 3.60 lakh
Maruti Alto K10,65.98k km,2017,Petrol,Manual,₹ 2.11 lakh
Maruti Vitara Brezza,94.08k km,2022,Petrol,Manual,₹ 6.51 lakh
Maruti Swift,42.55k km,2013,Petrol,Manual,₹ 3.60 lakh
Maruti Wagon R 1.0,91.19k km,2012,Petrol,Manual,₹ 1.78 lakh
Maruti Alto 800,1.2L km,2014,Petrol,Manual,₹ 1.75 lakh
Maruti Swift Dzire,39.84k km,2010,Petrol,Manual,₹ 2.06 lakh
Maruti Wagon R 1.0,97.83k km,2014,Petrol,Manual,₹ 2.44 lakh
Maruti Swift Dzire,44.24k km,2010,Diesel,Manual,₹ 2.07 lakh
Maruti Dzire,45.39k km,2020,Petrol,Manual,₹ 4.30 lakh
Maruti Wagon R 1.0,64.04k km,2014,Petrol,Manual,₹ 2.49 lakh
Maruti Vitara Brezza,98.52k km,2019,Diesel,Auto,₹ 7.34 lakh
Maruti Wagon R 1.0,31.08k km,2013,Petrol,Manual,₹ 2.02 lakh
Maruti Swift,68.75k km,2018,Petrol,Auto,₹ 4.07 lakh
Maruti Swift Dzire,1.3L km,2010,Petrol,Manual,₹ 1.40 lakh
Maruti Wagon R 1.0,53.41k km,2013,Petrol,Manual,₹ 2.05 lakh
Maruti S Cross,95.71k km,2018,Diesel,Manual,₹ 6.00 lakh
Maruti Wagon R 1.0,90.61k km,2017,Petrol,Manual,₹ 2.20 lakh
Maruti Alto 800,80.45k km,2014,Petrol,Manual,₹ 1.72 lakh
Maruti Alto 800,82.02k km,2013,Petrol,Manual,₹ 1.50 lakh
Maruti Wagon R 1.0,1.3L km,2014,Petrol,Manual,₹ 2.26 lakh
Maruti Swift Dzire,15.50k km,2015,Petrol,Manual,₹ 3.60 lakh
Maruti Ertiga,36.35k km,2019,Diesel,Manual,₹ 9.12 lakh
Maruti Swift Dzire,1.2L km,2010,Petrol,Manual,₹ 1.22 lakh
Maruti Wagon R 1.0,90.00k km,2013,Petrol,Manual,₹ 2.25 lakh
Maruti Wagon R 1.0,1.2L km,2013,Petrol,Manual,₹ 1.75 lakh
Maruti Celerio,94.69k km,2017,Petrol,Manual,₹ 2.62 lakh
Maruti Wagon R 1.0,73.14k km,2017,Petrol,Manual,₹ 2.70 lakh
Maruti Wagon R 1.0,1.6L km,2014,Petrol,Manual,₹ 2.00 lakh
Maruti Swift Dzire,52.91k km,2011,Petrol,Manual,₹ 2.28 lakh
Maruti Swift Dzire,38.73k km,2015,Diesel,Manual,₹ 6.96 lakh
Maruti IGNIS,29.64k km,2017,Petrol,Auto,₹ 3.39 lakh
Maruti Ciaz,60.21k km,2017,Petrol,Manual,₹ 4.32 lakh
Maruti Alto K10,69.31k km,2015,Petrol,Manual,₹ 1.70 lakh
Maruti Wagon R 1.0,94.50k km,2014,Petrol,Manual,₹ 2.40 lakh
Maruti Wagon R 1.0,75.81k km,2013,Petrol,Manual,₹ 2.09 lakh
Maruti Wagon R 1.0,1.5L km,2014,Petrol,Manual,₹ 2.50 lakh
Maruti Alto K10,49.81k km,2015,Petrol,Auto,₹ 2.67 lakh
Maruti Ritz,1.8L km,2016,Diesel,Manual,₹ 2.20 lakh
Maruti Alto 800,1.3L km,2014,Petrol,Manual,₹ 1.67 lakh
Maruti Celerio,82.30k km,2014,Petrol,Manual,₹ 2.70 lakh
Maruti Eeco,59.60k km,2015,Petrol,Manual,₹ 4.16 lakh
Maruti Wagon R 1.0,95.17k km,2014,Petrol,Manual,₹ 2.87 lakh
Maruti Wagon R 1.0,95.55k km,2015,Petrol,Manual,₹ 2.32 lakh
Maruti Wagon R 1.0,1.0L km,2015,Petrol,Manual,₹ 2.81 lakh
